catalog_id,country,country_code,jurisdiction,office,search_url,status_lookup_url,filing_url,gazette_url,api_url,api_docs_url,bulk_download_url,access_type,authentication,rate_limit,supports_nice_classes,supports_image_search,update_frequency,status,last_verified,notes
TMK-0011,,WIPO,international,WIPO Global Brand Database,https://branddb.wipo.int,,,,,,,search,,,,,,active,,Search international and participating national trademark collections.
TMK-0012,,WIPO,international,WIPO Madrid Monitor,https://www3.wipo.int/madrid/monitor,,,,,,,portal,,,,,,active,,Track international trademark applications and registrations under the Madrid System.
TMK-0013,,WIPO,international,WIPO Madrid System Gazette,,,,https://www.wipo.int/en/web/madrid-system/gazette,,,,gazette,,,,,,active,,Official publication of international trademark registrations and changes.
TMK-0014,,WIPO,international,WIPO Madrid Goods and Services Manager,https://www.wipo.int/mgs,,,,,,,portal,,,,,,active,,Multilingual classification tool for Madrid System goods and services.
TMK-0015,,WIPO,international,WIPO Trademark Database Portal,https://www.wipo.int/amc/en/trademark,,,,,,,portal,,,,,,active,,Directory of national and regional online trademark databases.
TMK-0016,,WIPO,international,WIPO IP Office Directory,https://www.wipo.int/en/web/country-profiles/directory-ip-offices,,,,,,,portal,,,,,,active,,Official directory of national and regional intellectual-property offices.
TMK-0017,,EU,regional,EUIPO Trademark Search API,,,,,https://dev.euipo.europa.eu/product/trademark-search_100,,,rest_api,,,,,,active,,Official EUIPO REST API for searching EU trademark records.
TMK-0018,,EU,regional,EUIPO API Portal,,,,,https://dev.euipo.europa.eu,,,rest_api,,,,,,active,,EUIPO developer portal for trademark and intellectual-property APIs.
TMK-0019,,EU,regional,EUIPO Search IP,https://www.euipo.europa.eu/en/search-ip,,,,,,,search,,,,,,active,,Official EUIPO search entry point for EU trade marks and designs.
TMK-0020,,EU,regional,TMview,https://www.tmdn.org/tmview,,,,,,,search,,,,,,active,,Multi-office trademark search service operated through the EU Intellectual Property Network.
TMK-0021,,BX,regional,BOIP Trademarks Register,https://www.boip.int/en/trademarks-register,,,,,,,search,,,,,,active,,Official Benelux trademark register.
TMK-0022,,OAPI,regional,OAPI Trademark Services,,,,,https://oapi.int/en,,,rest_api,,,,,,active,,Regional intellectual-property office serving member states in Africa.
TMK-0023,,ARIPO,regional,ARIPO Marks Services,https://www.aripo.org,,,,,,,search,,,,,,active,,Regional intellectual-property organization providing trademark services under the Banjul Protocol.
TMK-0024,,,regional,GCC Patent Office and Trademark Information,https://www.gccpo.org,,,,,,,search,,,,,,active,,Official Gulf Cooperation Council intellectual-property portal.
TMK-0025,,GB,national,UK IPO Trademark Search,https://trademarks.ipo.gov.uk/ipo-tmtext,,,,,,,search,,,,,,active,,Official United Kingdom trademark search service.
TMK-0026,,GB,national,UK Trade Marks Journal,,,,https://www.gov.uk/government/collections/trade-marks-journal,,,,gazette,,,,,,active,,Official weekly journal of UK trademark applications and notices.
TMK-0027,,CA,national,CIPO Trademark Database,https://ised-isde.canada.ca/cipo/trademark-search,,,,,,,search,,,,,,active,,Official Canadian trademark search database.
TMK-0028,,CA,national,Canadian Trademarks Journal,,,,https://ised-isde.canada.ca/site/canadian-intellectual-property-office/en/trademarks/trademarks-journal,,,,gazette,,,,,,active,,Official publication of Canadian trademark applications and notices.
TMK-0029,,AU,national,IP Australia Trade Mark Search,https://search.ipaustralia.gov.au/trademarks/search/quick,,,,,,,search,,,,,,active,,Official Australian trademark search service.
TMK-0030,,AU,national,Australian Official Journal of Trade Marks,,,,https://pericles.ipaustralia.gov.au/ols/epublish/content/olsTrademarkPDFs.jsp,,,,gazette,,,,,,active,,Official Australian trademark journal publications.
TMK-0031,,,national,IPONZ Trade Mark Search,https://app.iponz.govt.nz/app/Extra/IP/TM/Qbe.aspx?sid=638497103860530638,,,,,,,search,,,,,,active,,Official New Zealand trademark search service.
TMK-0032,,JP,national,J-PlatPat,https://www.j-platpat.inpit.go.jp,,,,,,,search,,,,,,active,,"Official Japanese platform for trademark, patent, and design searches."
TMK-0033,,KR,national,KIPRIS,https://eng.kipris.or.kr,,,,,,,search,,,,,,active,,Official Korean intellectual-property search service.
TMK-0034,,CN,national,CNIPA,https://english.cnipa.gov.cn,,,,,,,search,,,,,,active,,Official China National Intellectual Property Administration portal.
TMK-0035,,IN,national,IP India Public Search,https://tmrsearch.ipindia.gov.in/tmrpublicsearch,,,,,,,search,,,,,,active,,Official Indian public trademark search service.
TMK-0036,,SG,national,IPOS Digital Hub,https://digitalhub.ipos.gov.sg,,,,,,,search,,,,,,active,,Official Singapore intellectual-property search and transaction portal.
TMK-0037,,MY,national,MyIPO IP Online,https://iponline2u.myipo.gov.my,,,,,,,search,,,,,,active,,Official Malaysian intellectual-property search and filing portal.
TMK-0038,,TH,national,DIP Thailand Trademark Search,https://www.ipthailand.go.th/en,,,,,,,search,,,,,,active,,Official Thailand Department of Intellectual Property portal.
TMK-0039,,ID,national,DGIP Indonesia,https://www.dgip.go.id,,,,,,,search,,,,,,active,,Official Indonesian Directorate General of Intellectual Property portal.
TMK-0040,,VN,national,IP Viet Nam,https://ipvietnam.gov.vn,,,,,,,search,,,,,,active,,Official Intellectual Property Office of Viet Nam portal.
TMK-0041,,,national,DIP Cambodia,https://www.cambodiaip.gov.kh,,,,,,,search,,,,,,active,,Official Cambodian intellectual-property information portal.
TMK-0042,,PH,national,DIP Philippines Trademark Search,https://www.ipophil.gov.ph,,,,,,,search,,,,,,active,,Official Intellectual Property Office of the Philippines portal.
TMK-0043,,,national,Brunei Intellectual Property Office,https://www.bruipo.gov.bn,,,,,,,search,,,,,,active,,Official Brunei intellectual-property office portal.
TMK-0044,,DE,national,DPMAregister,https://register.dpma.de/DPMAregister/Uebersicht,,,,,,,search,,,,,,active,,Official German trademark and intellectual-property register.
TMK-0045,,FR,national,INPI France Data,https://data.inpi.fr,,,,,,,search,,,,,,active,,Official French industrial-property search and data portal.
TMK-0046,,CH,national,Swissreg,https://www.swissreg.ch,,,,,,,search,,,,,,active,,"Official Swiss trademark, patent, and design register."
TMK-0047,,,national,Austrian Patent Office SeeIP,https://seeip.patentamt.at,,,,,,,search,,,,,,active,,Official Austrian intellectual-property search portal.
TMK-0048,,ES,national,OEPM Spain,https://consultas2.oepm.es/LocalizadorWeb,,,,,,,search,,,,,,active,,Official Spanish trademark and industrial-property search service.
TMK-0049,,IT,national,UIBM Italy,https://uibm.mise.gov.it/index.php/en,,,,,,,search,,,,,,active,,Official Italian Patent and Trademark Office portal.
TMK-0050,,PT,national,Portugal INPI,https://inpi.justica.gov.pt,,,,,,,search,,,,,,active,,Official Portuguese industrial-property office portal.
TMK-0051,,,national,Netherlands Enterprise Agency Trademark Information,https://business.gov.nl/regulation/trademark-registration,,,,,,,search,,,,,,active,,Official Netherlands government guidance and access for trademark registration.
TMK-0052,,,national,Danish Patent and Trademark Office,https://www.dkpto.org,,,,,,,search,,,,,,active,,Official Danish trademark and patent office portal.
TMK-0053,,SE,national,PRV Sweden,https://www.prv.se/en,,,,,,,search,,,,,,active,,Official Swedish Intellectual Property Office portal.
TMK-0054,,,national,Norwegian Industrial Property Office,https://www.patentstyret.no/en,,,,,,,search,,,,,,active,,Official Norwegian trademark and patent office portal.
TMK-0055,,,national,Finnish Patent and Registration Office,https://www.prh.fi/en.html,,,,,,,search,,,,,,active,,Official Finnish trademark and business registration portal.
TMK-0056,,,national,Icelandic Intellectual Property Office,https://www.hugverk.is/en,,,,,,,search,,,,,,active,,Official Icelandic intellectual-property office portal.
TMK-0057,,PL,national,Patent Office of Poland,https://uprp.gov.pl/en,,,,,,,search,,,,,,active,,Official Polish Patent Office portal for trademarks and other rights.
TMK-0058,,CZ,national,Czech Industrial Property Office,https://upv.gov.cz/en,,,,,,,search,,,,,,active,,Official Czech intellectual-property office portal.
TMK-0059,,SK,national,Industrial Property Office Slovakia,https://www.indprop.gov.sk/?lang=en,,,,,,,search,,,,,,active,,Official Slovak intellectual-property office portal.
TMK-0060,,,national,Hungarian Intellectual Property Office,https://www.hipo.gov.hu/en,,,,,,,search,,,,,,active,,Official Hungarian intellectual-property office portal.
TMK-0061,,RO,national,Romanian State Office for Inventions and Trademarks,https://osim.ro/en,,,,,,,search,,,,,,active,,Official Romanian trademark and patent office portal.
TMK-0062,,,national,Bulgarian Patent Office,https://www.bpo.bg/en,,,,,,,search,,,,,,active,,Official Bulgarian Patent Office portal.
TMK-0063,,HR,national,Croatian State Intellectual Property Office,https://www.dziv.hr/en,,,,,,,search,,,,,,active,,Official Croatian intellectual-property office portal.
TMK-0064,,SI,national,Slovenian Intellectual Property Office,https://www.uil-sipo.si,,,,,,,search,,,,,,active,,Official Slovenian intellectual-property office portal.
TMK-0065,,,national,Irish Patents Office,https://www.ipoi.gov.ie/en,,,,,,,search,,,,,,active,,Official Intellectual Property Office of Ireland portal.
TMK-0066,,,national,Greek Industrial Property Organisation,https://www.obi.gr/en,,,,,,,search,,,,,,active,,Official Greek industrial-property organization portal.
TMK-0067,,TR,national,Turkish Patent and Trademark Office,https://www.turkpatent.gov.tr/en,,,,,,,search,,,,,,active,,Official Turkish trademark and patent office portal.
TMK-0068,,,national,Ukrainian National Office for Intellectual Property and Innovations,https://nipo.gov.ua/en,,,,,,,search,,,,,,active,,Official Ukrainian intellectual-property office portal.
TMK-0069,,,national,Rospatent,https://rospatent.gov.ru/en,,,,,,,search,,,,,,active,,Official Russian intellectual-property office portal.
TMK-0070,,GE,national,Sakpatenti Georgia,https://www.sakpatenti.gov.ge/en,,,,,,,search,,,,,,active,,Official National Intellectual Property Center of Georgia portal.
TMK-0071,,BR,national,INPI Brazil Trademark Search,https://busca.inpi.gov.br/pePI,,,,,,,search,,,,,,active,,Official Brazilian industrial-property search portal.
TMK-0072,,MX,national,IMPI Mexico MARCANET,https://marcanet.impi.gob.mx/marcanet/vistas/common/datos/bsqDenominacionCompleto.pgi,,,,,,,search,,,,,,active,,Official Mexican trademark search system.
TMK-0073,,,national,INPI Argentina,https://portaltramites.inpi.gob.ar,,,,,,,search,,,,,,active,,Official Argentine industrial-property search and services portal.
TMK-0074,,,national,INAPI Chile,,,,,https://www.inapi.cl,,,rest_api,,,,,,active,,Official Chilean industrial-property office portal.
TMK-0075,,,national,SIC Colombia Trademark Search,https://sipi.sic.gov.co/sipi/Extra/Default.aspx?sid=638497083547792258,,,,,,,search,,,,,,active,,Official Colombian industrial-property search system.
TMK-0076,,,national,INDECOPI Peru,https://www.indecopi.gob.pe,,,,,,,search,,,,,,active,,Official Peruvian intellectual-property and competition authority portal.
TMK-0077,,,national,SENADI Ecuador,https://www.derechosintelectuales.gob.ec,,,,,,,search,,,,,,active,,Official Ecuadorian intellectual-property service portal.
TMK-0078,,,national,DNPI Uruguay,https://www.gub.uy/ministerio-industria-energia-mineria/marcas,,,,,,,search,,,,,,active,,Official Uruguay government trademark services portal.
TMK-0079,,,national,DINAPI Paraguay,,,,,https://www.dinapi.gov.py,,,rest_api,,,,,,active,,Official Paraguayan intellectual-property office portal.
TMK-0080,,,national,SENAPI Bolivia,,,,,https://www.senapi.gob.bo,,,rest_api,,,,,,active,,Official Bolivian intellectual-property office portal.
TMK-0081,,,national,CNR El Salvador Intellectual Property Registry,https://www.cnr.gob.sv,,,,,,,search,,,,,,active,,Official El Salvador registration authority for intellectual property.
TMK-0082,,,national,RPI Guatemala,https://rpi.gob.gt,,,,,,,search,,,,,,active,,Official Guatemalan Intellectual Property Registry portal.
TMK-0083,,,national,RN Costa Rica Industrial Property Registry,https://www.rnpdigital.com,,,,,,,search,,,,,,active,,Official Costa Rican registry portal covering industrial property.
TMK-0084,,,national,DIGERPI Panama,https://mici.gob.pa/digerpi,,,,,,,search,,,,,,active,,Official Panamanian industrial-property directorate portal.
TMK-0085,,,national,ONAPI Dominican Republic,,,,,https://www.onapi.gov.do,,,rest_api,,,,,,active,,Official Dominican Republic industrial-property office portal.
TMK-0086,,,national,Jamaica Intellectual Property Office,https://www.jipo.gov.jm,,,,,,,search,,,,,,active,,Official Jamaican intellectual-property office portal.
TMK-0087,,CA,national,CIPO Trinidad and Tobago,https://www.cipo.gov.tt,,,,,,,search,,,,,,active,,Official Trinidad and Tobago intellectual-property office portal.
TMK-0088,,ZA,national,CIPC South Africa,https://www.cipc.co.za,,,,,,,search,,,,,,active,,Official South African company and intellectual-property registration portal.
TMK-0089,,KE,national,Kenya Industrial Property Institute,https://www.kipi.go.ke,,,,,,,search,,,,,,active,,Official Kenyan industrial-property office portal.
TMK-0090,,NG,national,Nigeria Trademarks Registry,https://www.iponigeria.com,,,,,,,search,,,,,,active,,Official Nigerian industrial-property registration portal.
TMK-0091,,GH,national,Ghana Registrar-General Intellectual Property,https://rgd.gov.gh,,,,,,,search,,,,,,active,,Official Ghanaian registry portal covering trademarks and businesses.
TMK-0092,,EG,national,Egyptian Trademarks and Industrial Designs Office,https://www.itda.gov.eg,,,,,,,search,,,,,,active,,Official Egyptian trademark and industrial-design authority portal.
TMK-0093,,,national,Moroccan Office of Industrial and Commercial Property,https://www.ompic.ma/en,,,,,,,search,,,,,,active,,Official Moroccan industrial and commercial property office portal.
TMK-0094,,TN,national,Tunisian National Institute for Standardization and Industrial Property,https://www.innorpi.tn,,,,,,,search,,,,,,active,,Official Tunisian industrial-property office portal.
TMK-0095,,IL,national,Israel Patent Office Trademarks,https://www.gov.il/en/departments/topics/trademarks/govil-landing-page,,,,,,,search,,,,,,active,,Official Israeli government trademark services portal.
TMK-0096,,SA,national,Saudi Authority for Intellectual Property,https://www.saip.gov.sa/en,,,,,,,search,,,,,,active,,Official Saudi intellectual-property authority portal.
TMK-0097,,AE,national,UAE Ministry of Economy Trademarks,https://www.moec.gov.ae/en/trademarks,,,,,,,search,,,,,,active,,Official United Arab Emirates trademark services portal.
TMK-0098,,QA,national,Qatar Ministry of Commerce and Industry IP Rights,https://www.moci.gov.qa/en,,,,,,,search,,,,,,active,,Official Qatar government portal for intellectual-property services.
TMK-0099,,BH,national,Bahrain Ministry of Industry and Commerce IP,https://www.moic.gov.bh/en,,,,,,,search,,,,,,active,,Official Bahrain government industrial-property portal.
TMK-0100,,,national,Oman Ministry of Commerce Trademark Services,https://www.tejarah.gov.om,,,,,,,search,,,,,,active,,Official Oman government commerce and trademark services portal.
TMK-0101,,US-ST,state,Alabama State Trademark Registry,https://www.sos.alabama.gov,,,,,,,search,,,,,,active,,Official Alabama state trademark registration and business filing authority.
TMK-0102,,US-ST,state,Alaska State Trademark Registry,https://www.commerce.alaska.gov,,,,,,,search,,,,,,active,,Official Alaska state trademark registration and business filing authority.
TMK-0103,,US-ST,state,Arizona State Trademark Registry,https://azsos.gov,,,,,,,search,,,,,,active,,Official Arizona state trademark registration and business filing authority.
TMK-0104,,US-ST,state,Arkansas State Trademark Registry,https://www.sos.arkansas.gov,,,,,,,search,,,,,,active,,Official Arkansas state trademark registration and business filing authority.
TMK-0105,,US-ST,state,California State Trademark Registry,https://bizfileonline.sos.ca.gov,,,,,,,search,,,,,,active,,Official California state trademark registration and business filing authority.
TMK-0106,,US-ST,state,Colorado State Trademark Registry,https://www.sos.state.co.us,,,,,,,search,,,,,,active,,Official Colorado state trademark registration and business filing authority.
TMK-0107,,US-ST,state,Connecticut State Trademark Registry,https://portal.ct.gov/sots,,,,,,,search,,,,,,active,,Official Connecticut state trademark registration and business filing authority.
TMK-0108,,US-ST,state,Delaware State Trademark Registry,https://corp.delaware.gov,,,,,,,search,,,,,,active,,Official Delaware state trademark registration and business filing authority.
TMK-0109,,US-ST,state,Florida State Trademark Registry,https://dos.fl.gov,,,,,,,search,,,,,,active,,Official Florida state trademark registration and business filing authority.
TMK-0110,,GE,state,Georgia State Trademark Registry,https://sos.ga.gov,,,,,,,search,,,,,,active,,Official Georgia state trademark registration and business filing authority.
TMK-0111,,US-ST,state,Hawaii State Trademark Registry,https://cca.hawaii.gov/breg,,,,,,,search,,,,,,active,,Official Hawaii state trademark registration and business filing authority.
TMK-0112,,US-ST,state,Idaho State Trademark Registry,https://sos.idaho.gov,,,,,,,search,,,,,,active,,Official Idaho state trademark registration and business filing authority.
TMK-0113,,US-ST,state,Illinois State Trademark Registry,https://www.ilsos.gov,,,,,,,search,,,,,,active,,Official Illinois state trademark registration and business filing authority.
TMK-0114,,IN,state,Indiana State Trademark Registry,https://www.in.gov/sos,,,,,,,search,,,,,,active,,Official Indiana state trademark registration and business filing authority.
TMK-0115,,US-ST,state,Iowa State Trademark Registry,https://sos.iowa.gov,,,,,,,search,,,,,,active,,Official Iowa state trademark registration and business filing authority.
TMK-0116,,US-ST,state,Kansas State Trademark Registry,https://sos.ks.gov,,,,,,,search,,,,,,active,,Official Kansas state trademark registration and business filing authority.
TMK-0117,,US-ST,state,Kentucky State Trademark Registry,https://www.sos.ky.gov,,,,,,,search,,,,,,active,,Official Kentucky state trademark registration and business filing authority.
TMK-0118,,US-ST,state,Louisiana State Trademark Registry,https://www.sos.la.gov,,,,,,,search,,,,,,active,,Official Louisiana state trademark registration and business filing authority.
TMK-0119,,US-ST,state,Maine State Trademark Registry,https://www.maine.gov/sos,,,,,,,search,,,,,,active,,Official Maine state trademark registration and business filing authority.
TMK-0120,,US-ST,state,Maryland State Trademark Registry,https://egov.maryland.gov/businessexpress,,,,,,,search,,,,,,active,,Official Maryland state trademark registration and business filing authority.
TMK-0121,,US-ST,state,Massachusetts State Trademark Registry,https://www.sec.state.ma.us,,,,,,,search,,,,,,active,,Official Massachusetts state trademark registration and business filing authority.
TMK-0122,,US-ST,state,Michigan State Trademark Registry,https://www.michigan.gov/lara,,,,,,,search,,,,,,active,,Official Michigan state trademark registration and business filing authority.
TMK-0123,,US-ST,state,Minnesota State Trademark Registry,https://www.sos.state.mn.us,,,,,,,search,,,,,,active,,Official Minnesota state trademark registration and business filing authority.
TMK-0124,,US-ST,state,Mississippi State Trademark Registry,https://www.sos.ms.gov,,,,,,,search,,,,,,active,,Official Mississippi state trademark registration and business filing authority.
TMK-0125,,US-ST,state,Missouri State Trademark Registry,https://www.sos.mo.gov,,,,,,,search,,,,,,active,,Official Missouri state trademark registration and business filing authority.
TMK-0126,,US-ST,state,Montana State Trademark Registry,https://biz.sosmt.gov,,,,,,,search,,,,,,active,,Official Montana state trademark registration and business filing authority.
TMK-0127,,US-ST,state,Nebraska State Trademark Registry,https://sos.nebraska.gov,,,,,,,search,,,,,,active,,Official Nebraska state trademark registration and business filing authority.
TMK-0128,,US-ST,state,Nevada State Trademark Registry,https://www.nvsos.gov,,,,,,,search,,,,,,active,,Official Nevada state trademark registration and business filing authority.
TMK-0129,,US-ST,state,New Hampshire State Trademark Registry,https://www.sos.nh.gov,,,,,,,search,,,,,,active,,Official New Hampshire state trademark registration and business filing authority.
TMK-0130,,US-ST,state,New Jersey State Trademark Registry,https://www.njportal.com/DOR/BusinessFormation,,,,,,,search,,,,,,active,,Official New Jersey state trademark registration and business filing authority.
TMK-0131,,MX,state,New Mexico State Trademark Registry,https://www.sos.nm.gov,,,,,,,search,,,,,,active,,Official New Mexico state trademark registration and business filing authority.
TMK-0132,,US-ST,state,New York State Trademark Registry,https://dos.ny.gov,,,,,,,search,,,,,,active,,Official New York state trademark registration and business filing authority.
TMK-0133,,US-ST,state,North Carolina State Trademark Registry,https://www.sosnc.gov,,,,,,,search,,,,,,active,,Official North Carolina state trademark registration and business filing authority.
TMK-0134,,US-ST,state,North Dakota State Trademark Registry,https://firststop.sos.nd.gov,,,,,,,search,,,,,,active,,Official North Dakota state trademark registration and business filing authority.
TMK-0135,,US-ST,state,Ohio State Trademark Registry,https://www.ohiosos.gov,,,,,,,search,,,,,,active,,Official Ohio state trademark registration and business filing authority.
TMK-0136,,US-ST,state,Oklahoma State Trademark Registry,https://www.sos.ok.gov,,,,,,,search,,,,,,active,,Official Oklahoma state trademark registration and business filing authority.
TMK-0137,,US-ST,state,Oregon State Trademark Registry,https://sos.oregon.gov,,,,,,,search,,,,,,active,,Official Oregon state trademark registration and business filing authority.
TMK-0138,,US-ST,state,Pennsylvania State Trademark Registry,https://www.dos.pa.gov,,,,,,,search,,,,,,active,,Official Pennsylvania state trademark registration and business filing authority.
TMK-0139,,US-ST,state,Rhode Island State Trademark Registry,https://business.sos.ri.gov,,,,,,,search,,,,,,active,,Official Rhode Island state trademark registration and business filing authority.
TMK-0140,,US-ST,state,South Carolina State Trademark Registry,https://sos.sc.gov,,,,,,,search,,,,,,active,,Official South Carolina state trademark registration and business filing authority.
TMK-0141,,US-ST,state,South Dakota State Trademark Registry,https://sdsos.gov,,,,,,,search,,,,,,active,,Official South Dakota state trademark registration and business filing authority.
TMK-0142,,US-ST,state,Tennessee State Trademark Registry,https://sos.tn.gov,,,,,,,search,,,,,,active,,Official Tennessee state trademark registration and business filing authority.
TMK-0143,,US-ST,state,Texas State Trademark Registry,https://www.sos.state.tx.us,,,,,,,search,,,,,,active,,Official Texas state trademark registration and business filing authority.
TMK-0144,,US-ST,state,Utah State Trademark Registry,https://corporations.utah.gov,,,,,,,search,,,,,,active,,Official Utah state trademark registration and business filing authority.
TMK-0145,,US-ST,state,Vermont State Trademark Registry,https://sos.vermont.gov,,,,,,,search,,,,,,active,,Official Vermont state trademark registration and business filing authority.
TMK-0146,,US-ST,state,Virginia State Trademark Registry,https://www.scc.virginia.gov,,,,,,,search,,,,,,active,,Official Virginia state trademark registration and business filing authority.
TMK-0147,,US-ST,state,Washington State Trademark Registry,https://www.sos.wa.gov,,,,,,,search,,,,,,active,,Official Washington state trademark registration and business filing authority.
TMK-0148,,US-ST,state,West Virginia State Trademark Registry,https://sos.wv.gov,,,,,,,search,,,,,,active,,Official West Virginia state trademark registration and business filing authority.
TMK-0149,,US-ST,state,Wisconsin State Trademark Registry,https://www.wdfi.org,,,,,,,search,,,,,,active,,Official Wisconsin state trademark registration and business filing authority.
TMK-0150,,US-ST,state,Wyoming State Trademark Registry,https://sos.wyo.gov,,,,,,,search,,,,,,active,,Official Wyoming state trademark registration and business filing authority.
TMK-0151,,US-ST,state,District of Columbia Trademark Registry,https://corponline.dcra.dc.gov,,,,,,,search,,,,,,active,,Official territorial trademark/business registry.
TMK-0152,,US-ST,state,Puerto Rico Trademark Registry,https://prcorpfiling.f1hst.com,,,,,,,search,,,,,,active,,Official territorial trademark/business registry.
TMK-0153,,US-ST,state,Guam Department of Revenue & Taxation,https://www.guamtax.com,,,,,,,search,,,,,,active,,Official territorial trademark/business registry.
TMK-0154,,US-ST,state,U.S. Virgin Islands Trademark Registration,https://ltg.gov.vi,,,,,,,search,,,,,,active,,Official territorial trademark/business registry.
TMK-0155,,US-ST,state,Northern Mariana Islands Registrar,https://commerce.gov.mp,,,,,,,search,,,,,,active,,Official territorial trademark/business registry.
TMK-0156,,US-ST,state,American Samoa Commerce,https://www.americansamoa.gov,,,,,,,search,,,,,,active,,Official territorial trademark/business registry.
TMK-0157,,WIPO,international,WIPO Global Brand Database,https://www.wipo.int/en/web/global-brand-database,,,,,,,portal,,,,,,active,,"Searches international and participating national or regional trademark collections, including text and image-based brand records."
TMK-0158,,WIPO,international,WIPO Madrid Monitor,https://www3.wipo.int/madrid/monitor/en,,,,,,,search,,,,,,active,,Official search and status-monitoring service for international trademark registrations under the Madrid System.
TMK-0159,,EU,regional,TMview,https://www.tmdn.org/tmview/welcome,,,,,,,portal,,,,,,active,,"Free multi-office trademark search covering participating national, regional, and international intellectual property offices."
TMK-0160,,EU,regional,EUIPO eSearch Plus,https://euipo.europa.eu/eSearch,,,,,,,search,,,,,,active,,"Official European Union Intellectual Property Office database for EU trademarks, designs, owners, representatives, and bulletins."
TMK-0161,,GB,national,UK IPO Trade Mark Search,https://www.gov.uk/search-for-trademark,,,,,,,search,,,,,,active,,"Official United Kingdom search service for registered and pending trade marks by number, owner, keyword, phrase, or image."
TMK-0162,,GB,national,UK Trade Marks Journal,,,,https://www.gov.uk/check-trade-marks-journal,,,,gazette,,,,,,active,,"Official weekly journal of UK trade mark applications, amendments, and opposition-relevant publications."
TMK-0163,,CA,national,Canadian Trademarks Database,https://ised-isde.canada.ca/cipo/trademark-search/srch,,,,,,,search,,,,,,active,,Official Canadian Intellectual Property Office database for Canadian trademarks and application records.
TMK-0164,,CA,national,Canadian Trademarks Journal,,,,https://ised-isde.canada.ca/site/canadian-intellectual-property-office/en/trademarks/canadian-trademarks-journal,,,,gazette,,,,,,active,,"Official CIPO journal publishing advertised trademark applications, registrations, renewals, and related notices."
TMK-0166,,,national,IPONZ Trade Mark Search,https://www.iponz.govt.nz/get-ip/trade-marks/search,,,,,,,search,,,,,,active,,"Official New Zealand tools for checking and searching trade mark cases, owners, images, and status information."
TMK-0167,,JP,national,J-PlatPat Trademark Search,https://www.j-platpat.inpit.go.jp/?uri=/s0000/en,,,,,,,search,,,,,,active,,"Official Japanese platform for searching trademark applications, registrations, classifications, and legal status."
TMK-0169,,CN,national,CNIPA Trademark Search,https://wcjs.sbj.cnipa.gov.cn,,,,,,,search,,,,,,active,,Official China National Intellectual Property Administration portal for Chinese trademark searches and status checks.
TMK-0172,,MY,national,MyIPO Trademark Search,https://www.myipo.gov.my/search-trademark,,,,,,,search,,,,,,active,,Official Malaysian Intellectual Property Corporation access point for online trademark search services.
TMK-0173,,ID,national,Indonesia PDKI,https://pdki-indonesia.dgip.go.id,,,,,,,search,,,,,,active,,"Official Indonesian intellectual property database for trademarks, patents, designs, copyrights, and geographical indications."
TMK-0176,,VN,national,Vietnam IP Library,https://iplib.noip.gov.vn/WebUI/WSearch.php,,,,,,,search,,,,,,active,,Official Vietnam intellectual property library for searching trademark and other industrial property records.
TMK-0179,,MX,national,Mexico MARCia Trademark Search,https://marcia.impi.gob.mx/marcas/search/quick,,,,,,,search,,,,,,active,,Official Mexican Institute of Industrial Property platform for searching trademark applications and registrations.
